#,Name,Classification,Released games,Unreleased games,Total revenue,Avg revenue per game,HQ country,% developed in-house,% indie releases,Action,Casual,Adventure,Simulation,Strategy,RPG,MMO,Racing,Sports
112,AMPLITUDE Studios,Indie,7,1,$142.8m,$20.4m,France,0,0.25,0.13,0.13,0.13,0.13,0.88,0.25,0,0,0
113,ConcernedApe,AA,1,0,$141.1m,$141.1m,United States,1,1,0,0,0,1,0,1,0,0,0
114,World's Edge,Indie,3,0,$139.8m,$46.6m,N/A,0,0,0,0,0,0,1,0,0,0,0
115,Nixxes software,Indie,3,1,$138.6m,$46.2m,N/A,0,0,1,0.25,0.75,0,0,0.25,0,0,0
116,Giants Software,Indie,9,0,$135.4m,$15m,Switzerland,0.89,0,0,0.33,0,1,0,0,0,0,0
117,No Brakes Games,Indie,1,1,$135.2m,$135.2m,Spain,0,0.5,0.5,1,1,0.5,0,0,0,0,0
118,Irrational Games,Indie,4,1,$134m,$33.5m,United States,0,0,0.6,0,0,0,0.4,0.8,0,0,0
119,Virtual Programming (Linux),Indie,1,0,$131.3m,$131.3m,N/A,0,0,1,0,0,0,0,0,0,0,0
120,Massive Entertainment,Indie,3,0,$130.6m,$43.5m,Sweden,0,0,0.33,0,0.33,0,0.67,0.33,0,0,0
121,Io-Interactive A/S,Indie,9,0,$128.7m,$14.3m,Denmark,0.89,0,1,0,0.11,0,0,0,0,0,0
122,Hopoo Games,Indie,3,1,$128.3m,$42.8m,United States,0.25,0.75,1,0,0,0,0,0.25,0,0,0
123,Telltale Games,Indie,41,0,$128.2m,$3.1m,United States,0.49,0,0.17,0.07,0.85,0,0,0,0,0,0.05
124,The Behemoth,Indie,3,2,$127.5m,$42.5m,United States,1,0.8,1,0.4,0.4,0,0.2,0.4,0,0,0
125,Turtle Rock Studios,Indie,2,0,$127.5m,$63.7m,United States,0,0,1,0,0,0,0,0,0,0,0
126,Hello Games,AA,4,0,$126.4m,$31.6m,United Kingdom,1,0.75,0.75,0.5,0.5,0,0,0,0,0.5,0
127,Croteam,Indie,21,1,$126m,$6m,Croatia,0.14,0.95,0.82,0.05,0.18,0.05,0.18,0.09,0,0,0
128,Asobo Studio,Indie,8,0,$125.3m,$15.7m,France,0,0,0.38,0.13,0.63,0.25,0,0,0,0,0
129,Traveller's Tales,Indie,17,0,$124.6m,$7.3m,United Kingdom,0,0,0.76,0,0.88,0,0,0,0,0,0
130,New World Interactive,Indie,3,0,$122.9m,$41m,Canada,0.67,0.67,1,0,0,0,0.67,0,0,0,0
131,Hazelight,Indie,2,0,$122.2m,$61.1m,Sweden,0,0.5,1,0,1,0,0,0,0,0,0
132,Remedy Entertainment,Indie,9,0,$119.3m,$13.3m,Finland,0.33,0,1,0,0.33,0,0,0,0,0.11,0
133,BioWare,AAA,15,0,$117.5m,$7.8m,Canada,0.07,0,0.47,0,0.2,0.07,0.13,0.87,0.07,0,0
134,ATLUS,Indie,14,3,$115m,$8.2m,Japan,0,0,0.12,0,0.41,0,0.18,0.82,0,0,0
135,Wube Software LTD.,AA,1,0,$113.5m,$113.5m,Czech Republic,1,1,0,1,0,1,1,0,0,0,0
136,VOID Interactive,Indie,1,1,$111.3m,$111.3m,Ireland,1,1,1,0,1,0.5,0.5,0,0,0,0
137,Ghost Ship Games,Indie,1,0,$109.9m,$109.9m,Denmark,0,0,1,0,0,0,0,0,0,0,0
138,Ghost Games,Indie,3,0,$109.7m,$36.6m,Sweden,0,0,1,0,1,0.33,0.33,0,0,1,0.67
139,Ubisoft Annecy,AAA,5,0,$109.1m,$21.8m,N/A,0,0,0.8,0,0.4,0,0,0,0.2,0,0.6
140,KOJIMA PRODUCTIONS,Indie,2,0,$107.9m,$54m,Japan,0,0,1,0,1,0,0,0,0,0,0
141,Guerrilla,AA,1,1,$106.8m,$106.8m,Netherlands,0,0,1,0,0.5,0,0,1,0,0,0
142,Haemimont Games,Indie,16,0,$106.7m,$6.7m,Bulgaria,0.25,0.06,0.19,0,0.13,0.56,0.88,0.13,0,0,0
143,11 bit studios,AA,7,2,$104.5m,$14.9m,Poland,1,0.44,0.56,0,0.22,0.33,0.78,0,0,0,0
144,Gunfire Games,Indie,5,0,$104.4m,$20.9m,United States,0,0,1,0,1,0,0,0.8,0,0,0
145,Squad,Indie,1,0,$102.2m,$102.2m,N/A,0,1,0,0,0,1,0,0,0,0,0
146,Red Barrels,AA,3,0,$101.5m,$33.8m,Canada,1,1,1,0,1,0,0,0,0,0,0
147,Ubisoft Paris,AAA,5,0,$101.4m,$20.3m,France,0,0,0.8,0.2,0.6,0,0,0,0,0,0
148,KONAMI,Indie,16,7,$101.2m,$6.3m,N/A,1,0.04,0.78,0.17,0.22,0.13,0.13,0.13,0.04,0.04,0.13
149,PlatinumGames Inc.,Indie,6,0,$99.6m,$16.6m,N/A,0.5,0.17,1,0,0.5,0,0,0.5,0,0,0
150,Moon Studios GmbH,Indie,3,0,$98.5m,$32.8m,N/A,0,0,1,0,0,0,0,0,0,0,0
151,DONTNOD Entertainment,Indie,6,0,$98.3m,$16.4m,France,0,0,0.5,0,0.83,0,0,0.17,0,0,0
152,TT Games,Indie,15,0,$97.7m,$6.5m,N/A,0.27,0.27,0.87,0.27,0.6,0,0,0.07,0,0,0
153,SEGA,AAA,76,2,$97.4m,$1.3m,Japan,1,0.01,0.58,0.09,0.18,0.05,0.08,0.18,0.01,0.01,0.04
154,The Indie Stone,Indie,1,0,$95.4m,$95.4m,United Kingdom,1,1,0,0,0,1,0,1,0,0,0
155,Blue Byte,Indie,9,0,$94.8m,$10.5m,Germany,0,0,0.22,0,0,0.44,0.78,0.22,0.11,0,0
156,Introversion Software,Indie,8,0,$94.3m,$11.8m,United Kingdom,0.88,1,0,0,0.13,0.25,0.75,0,0,0,0
